id,started_at,finished_at,source_count,raw_item_count,signal_count,status,error
51,2026-09-11T23:08:31.893359+00:00,2026-09-11T23:08:31.894808+00:00,15,18,0,ok,
52,2026-09-12T00:05:31.051473+00:00,2026-09-12T00:05:31.052878+00:00,15,12,0,ok,
53,2026-09-12T01:10:33.556761+00:00,2026-09-12T01:10:33.557944+00:00,14,15,0,partial,1 source(s) failed
54,2026-09-12T02:06:16.819058+00:00,2026-09-12T02:06:16.820135+00:00,14,22,0,partial,2 source(s) failed
55,2026-09-12T03:06:09.596255+00:00,2026-09-12T03:06:09.597506+00:00,14,14,0,partial,2 source(s) failed
56,2026-09-12T04:13:22.701917+00:00,2026-09-12T04:13:22.703313+00:00,14,21,0,partial,2 source(s) failed
57,2026-09-12T05:05:33.684326+00:00,2026-09-12T05:05:33.686268+00:00,15,19,0,ok,
58,2026-09-12T06:05:27.967127+00:00,2026-09-12T06:05:27.969000+00:00,15,6,0,ok,
59,2026-09-12T06:11:22.149158+00:00,2026-09-12T06:11:22.149585+00:00,3,26,0,ok,
60,2026-09-12T07:13:08.112524+00:00,2026-09-12T07:13:08.114078+00:00,15,13,0,ok,
61,2026-09-12T07:18:51.638288+00:00,2026-09-12T07:18:51.639045+00:00,3,5,0,ok,
62,2026-09-12T08:05:30.478821+00:00,2026-09-12T08:05:30.480157+00:00,15,13,0,ok,
63,2026-09-12T09:05:36.838369+00:00,2026-09-12T09:05:36.840109+00:00,15,13,0,ok,
64,2026-09-12T10:05:35.608351+00:00,2026-09-12T10:05:35.610259+00:00,15,11,0,ok,
65,2026-09-12T10:10:28.130509+00:00,2026-09-12T10:10:28.131450+00:00,3,6,0,ok,
66,2026-09-12T11:06:05.069052+00:00,2026-09-12T11:06:05.070417+00:00,15,21,0,ok,
67,2026-09-12T12:05:56.426464+00:00,2026-09-12T12:05:56.427438+00:00,15,17,0,ok,
68,2026-09-12T13:05:29.910372+00:00,2026-09-12T13:05:29.911348+00:00,15,22,0,ok,
69,2026-09-12T14:05:39.077346+00:00,2026-09-12T14:05:39.078446+00:00,15,19,0,ok,
70,2026-09-12T14:07:06.833676+00:00,2026-09-12T14:07:06.834568+00:00,15,2,0,ok,
71,2026-09-12T15:05:48.711642+00:00,2026-09-12T15:05:48.712646+00:00,15,28,0,ok,
72,2026-09-12T16:06:03.778975+00:00,2026-09-12T16:06:03.780164+00:00,15,20,0,ok,
73,2026-09-12T17:19:06.426425+00:00,2026-09-12T17:19:06.427589+00:00,14,18,0,partial,1 source(s) failed
